"","storm_id","STATE_FIPS","EVENT_TYPE","CZ_FIPS","INJURIES_DIRECT","INJURIES_INDIRECT","DEATHS_DIRECT","DEATHS_INDIRECT","DAMAGE_PROPERTY","DAMAGE_CROPS"
"1","Alex",48,"Flood",479,0,0,0,0,"5.25M","0.00K"
"2","Alex",22,"Winter Weather",31,0,0,0,0,"0.00K","0.00K"
"3","Alex",22,"Winter Weather",32,0,0,0,0,"0.00K","0.00K"
"4","Alex",22,"Winter Weather",33,0,0,0,0,"0.00K","0.00K"
"5","Colin",13,"Rip Current",119,0,0,0,0,"0.00K","0.00K"
"6","Otto",36,"Flood",9,0,0,0,0,"100.00K","0.00K"
"7","Otto",36,"Flood",9,0,0,0,0,"75.00K","0.00K"
"8","Otto",36,"Flood",51,0,0,0,0,"40.00K","0.00K"
"9","Otto",36,"Flood",3,0,0,0,0,"25.00K","0.00K"
"10","Alex",48,"Flood",489,0,0,0,0,"0.00K","0.00K"
"11","Alex",22,"Winter Storm",27,0,0,0,0,"0.00K","0.00K"
"12","Alex",22,"Winter Storm",29,0,0,0,0,"0.00K","0.00K"
"13","Alex",48,"Flood",215,0,0,0,0,"0.00K","0.00K"
"14","Alex",48,"Flood",61,0,0,0,0,"0.00K","0.00K"
"15","Alex",22,"Winter Weather",42,0,0,0,0,"0.00K","0.00K"
"16","Alex",22,"Winter Weather",43,0,0,0,0,"0.00K","0.00K"
"17","Alex",22,"Winter Weather",44,0,0,0,0,"0.00K","0.00K"
"18","Alex",48,"Flood",427,0,0,0,0,"0.00K","0.00K"
"19","Alex",48,"Flood",215,0,0,0,0,"0.00K","0.00K"
"20","Alex",22,"Winter Weather",45,0,0,0,0,"0.00K","0.00K"
"21","Alex",22,"Winter Weather",52,0,0,0,0,"0.00K","0.00K"
"22","Earl",1,"Lightning",45,0,0,0,0,"5.00K","0.00K"
"23","Otto",36,"Thunderstorm Wind",13,0,0,0,0,"10.00K","0.00K"
"24","Otto",36,"Thunderstorm Wind",9,0,0,0,0,"10.00K","0.00K"
"25","Otto",36,"Thunderstorm Wind",63,0,0,0,0,"10.00K","0.00K"
"26","Hermine",17,"Drought",91,0,0,0,0,"0.00K",""
"27","Hermine",17,"Drought",92,0,0,0,0,"0.00K",""
"28","Hermine",17,"Drought",93,0,0,0,0,"0.00K",""
"29","Karl",4,"Heavy Rain",7,0,0,0,0,"0.00K","0.00K"
"30","Nicole",37,"Flash Flood",151,0,0,0,0,"0.00K","0.00K"
"31","Nicole",37,"Flash Flood",65,0,0,0,0,"0.00K","0.00K"
"32","Hermine",13,"Hail",67,0,0,0,0,"0.00K","0.00K"
"33","Nicole",33,"Flood",9,0,0,0,0,"0.00K","0.00K"
"34","Karl",4,"Heavy Rain",17,0,0,0,0,"0.00K","0.00K"
"35","Alex",48,"Flash Flood",215,0,0,0,0,"0.50K","0.00K"
"36","Nicole",37,"Flash Flood",183,0,0,0,0,"0.00K","0.00K"
"37","Nicole",37,"Flash Flood",153,0,0,0,0,"0.00K","0.00K"
"38","Nicole",85,"Marine Thunderstorm Wind",53,0,0,0,0,"0.00K","0.00K"
"39","Nicole",85,"Marine Thunderstorm Wind",53,0,0,0,0,"0.00K","0.00K"
"40","Nicole",85,"Marine Thunderstorm Wind",53,0,0,0,0,"0.00K","0.00K"
"41","Nicole",85,"Marine Thunderstorm Wind",53,0,0,0,0,"0.00K","0.00K"
"42","Nicole",85,"Marine Thunderstorm Wind",52,0,0,0,0,"0.00K","0.00K"
"43","Earl",20,"Heavy Rain",189,0,0,0,0,"0.00K","0.00K"
"44","Earl",20,"Heavy Rain",189,0,0,0,0,"0.00K","0.00K"
"45","Alex",48,"Flash Flood",61,0,0,0,0,"0.50K","0.00K"
"46","Nicole",85,"Marine Thunderstorm Wind",75,0,0,0,0,"0.00K","0.00K"
"47","Nicole",85,"Marine Thunderstorm Wind",75,0,0,0,0,"0.00K","0.00K"
"48","Earl",18,"Lightning",75,0,0,0,0,"50.00K","0.00K"
"49","Nicole",37,"Flash Flood",183,0,0,0,0,"0.00K","0.00K"
"50","Nicole",37,"Flash Flood",101,0,0,0,0,"0.00K","0.00K"
"51","Hermine",17,"Drought",94,0,0,0,0,"0.00K",""
"52","Hermine",17,"Drought",87,0,0,0,0,"0.00K",""
"53","Nicole",37,"Flash Flood",57,0,0,0,0,"0.00K","0.00K"
"54","Nicole",37,"Flash Flood",81,0,0,0,0,"0.00K","0.00K"
"55","Hermine",13,"Thunderstorm Wind",57,0,0,0,0,"2.00K","0.00K"
"56","Nicole",37,"Flash Flood",183,0,0,0,0,"0.00K","0.00K"
"57","Nicole",37,"Flash Flood",67,0,0,0,0,"0.00K","0.00K"
"58","Nicole",37,"Flash Flood",195,0,0,0,0,"0.00K","0.00K"
"59","Nicole",37,"Flash Flood",195,0,0,0,0,"0.00K","0.00K"
"60","Hermine",17,"Drought",90,0,0,0,0,"0.00K",""
"61","Karl",85,"Marine Thunderstorm Wind",53,0,0,0,0,"0.00K","0.00K"
"62","Nicole",37,"Flash Flood",191,0,0,0,0,"0.00K","0.00K"
"63","Nicole",37,"Flash Flood",81,0,0,0,0,"0.00K","0.00K"
"64","Earl",20,"Hail",157,0,0,0,0,"0.00K","0.00K"
"65","Earl",20,"Hail",161,0,0,0,0,"0.00K","0.00K"
"66","Earl",20,"Hail",149,0,0,0,0,"0.00K","0.00K"
"67","Earl",20,"Hail",127,0,0,0,0,"0.00K","0.00K"
"68","Earl",20,"Thunderstorm Wind",149,0,0,0,0,"0.00K","0.00K"
"69","Earl",20,"Thunderstorm Wind",127,0,0,0,0,"3.00K","0.00K"
"70","Nicole",37,"Flash Flood",57,0,0,0,0,"0.00K","0.00K"
"71","Nicole",37,"Flash Flood",57,0,0,0,0,"0.00K","0.00K"
"72","Nicole",37,"Flash Flood",81,0,0,0,0,"0.00K","0.00K"
"73","Earl",18,"Thunderstorm Wind",3,0,0,0,0,"25.00K","0.00K"
"74","Igor",12,"High Surf",25,0,0,0,0,"0.00K","0.00K"
"75","Igor",12,"High Surf",38,0,0,0,0,"0.00K","0.00K"
"76","Igor",12,"High Surf",25,0,0,0,0,"0.00K","0.00K"
