"","storm_id","STATE_FIPS","EVENT_TYPE","CZ_FIPS","INJURIES_DIRECT","INJURIES_INDIRECT","DEATHS_DIRECT","DEATHS_INDIRECT","DAMAGE_PROPERTY","DAMAGE_CROPS"
"1","Matthew",22,"Tropical Storm",61,0,0,0,0,"2K",""
"2","Matthew",22,"Tropical Storm",59,0,0,0,0,"4K",""
"3","Matthew",22,"Tropical Storm",63,0,0,0,0,"1K",""
"4","Matthew",22,"Tropical Storm",64,0,0,0,0,"1K",""
"5","Ivan",22,"Storm Surge/Tide",66,0,0,0,0,"5K",""
"6","Ivan",22,"Hurricane (Typhoon)",69,0,0,0,0,"8.6M",""
"7","Ivan",22,"Hurricane (Typhoon)",70,0,0,0,0,".94M",""
"8","Ivan",22,"Hurricane (Typhoon)",62,0,0,0,0,".24M",""
"9","Ivan",22,"Tropical Storm",66,0,0,0,0,"0K",""
"10","Matthew",28,"Tropical Storm",80,0,0,0,0,"10K",""
"11","Matthew",28,"Tropical Storm",81,0,0,0,0,"10K",""
"12","Matthew",22,"Tropical Storm",58,0,0,0,0,"1K",""
"13","Matthew",22,"Tropical Storm",40,0,0,0,0,"1K",""
"14","Matthew",22,"Tropical Storm",38,0,0,0,0,"1K",""
"15","Ivan",22,"Hurricane (Typhoon)",58,0,0,0,0,"5K",""
"16","Ivan",22,"Hurricane (Typhoon)",59,0,0,0,0,"5K",""
"17","Ivan",22,"Hurricane (Typhoon)",65,0,0,0,0,"5K",""
"18","Matthew",22,"Tropical Storm",65,0,0,0,0,"2K",""
"19","Matthew",22,"Storm Surge/Tide",68,0,0,0,0,"10K",""
"20","Matthew",22,"Storm Surge/Tide",66,0,0,0,0,"18K",""
"21","Matthew",22,"Storm Surge/Tide",67,0,0,0,0,"18K",""
"22","Matthew",22,"Storm Surge/Tide",69,0,0,0,0,"10K",""
"23","Matthew",22,"Storm Surge/Tide",70,0,0,0,0,"5K",""
"24","Matthew",22,"Storm Surge/Tide",40,0,0,0,0,"10K",""
"25","Ivan",22,"Storm Surge/Tide",67,0,0,0,0,"5K",""
"26","Ivan",22,"Tropical Storm",68,0,0,0,0,"0K",""
"27","Alex",27,"Winter Storm",48,0,0,0,0,"",""
"28","Alex",27,"Winter Storm",42,0,0,0,0,"",""
"29","Alex",27,"Winter Storm",43,0,0,0,0,"",""
"30","Alex",27,"Winter Storm",45,0,0,0,0,"",""
"31","Alex",27,"Winter Storm",84,0,0,0,0,"",""
"32","Alex",27,"Winter Storm",85,0,0,0,0,"",""
"33","Matthew",28,"Storm Surge/Tide",81,0,0,0,0,"15K",""
"34","Alex",27,"Winter Storm",78,0,0,0,0,"",""
"35","Alex",27,"Winter Storm",82,0,0,0,0,"",""
"36","Alex",27,"Winter Storm",83,0,0,0,0,"",""
"37","Alex",27,"Winter Storm",77,0,0,0,0,"",""
"38","Alex",27,"Winter Storm",74,0,0,0,0,"",""
"39","Alex",27,"Winter Storm",73,0,0,0,0,"",""
"40","Alex",27,"Winter Storm",68,0,0,0,0,"",""
"41","Alex",27,"Winter Storm",69,0,0,0,0,"",""
"42","Alex",27,"Winter Storm",91,0,0,0,0,"",""
"43","Alex",27,"Winter Storm",52,0,0,0,0,"",""
"44","Alex",27,"Winter Storm",51,0,0,0,0,"",""
"45","Alex",27,"Winter Storm",61,0,0,0,0,"",""
