"","storm_id","STATE_FIPS","EVENT_TYPE","CZ_FIPS","INJURIES_DIRECT","INJURIES_INDIRECT","DEATHS_DIRECT","DEATHS_INDIRECT","DAMAGE_PROPERTY","DAMAGE_CROPS"
"1","Andrea",88,"Marine Thunderstorm Wind",543,0,0,0,0,"0.00K","0.00K"
"2","Andrea",88,"Marine Thunderstorm Wind",543,0,0,0,0,"0.00K","0.00K"
"3","Andrea",88,"Marine Thunderstorm Wind",533,0,0,0,0,"0.00K","0.00K"
"4","Andrea",88,"Marine Thunderstorm Wind",537,0,0,0,0,"0.00K","0.00K"
"5","Andrea",25,"Strong Wind",20,0,0,0,0,"5.00K","0.00K"
"6","Andrea",44,"Flood",7,0,0,0,0,"0.00K","0.00K"
"7","Andrea",87,"Waterspout",670,0,0,0,0,"0.00K","0.00K"
"8","Chantal",12,"Flash Flood",31,0,0,0,0,"1.00K","0.00K"
"9","Chantal",12,"Heavy Rain",19,0,0,0,0,"",""
"10","Andrea",12,"Flash Flood",11,0,0,0,0,"0.00K","0.00K"
"11","Andrea",37,"Tropical Storm",108,0,0,0,0,"",""
"12","Andrea",45,"Tropical Storm",54,0,0,1,0,"",""
"13","Andrea",87,"Marine Thunderstorm Wind",555,0,0,0,0,"0.00K","0.00K"
"14","Andrea",87,"Marine Thunderstorm Wind",555,0,0,0,0,"0.00K","0.00K"
"15","Andrea",87,"Marine Thunderstorm Wind",572,0,0,0,0,"0.00K","0.00K"
"16","Ingrid",48,"Coastal Flood",243,0,0,0,0,"0.00K","0.00K"
"17","Ingrid",85,"Marine Thunderstorm Wind",250,0,0,0,0,"0.00K","0.00K"
"18","Chantal",12,"Heavy Rain",19,0,0,0,0,"",""
"19","Chantal",87,"Waterspout",454,0,0,0,0,"",""
"20","Chantal",87,"Marine Thunderstorm Wind",452,0,0,0,0,"",""
"21","Andrea",85,"Marine Thunderstorm Wind",35,0,0,0,0,"0.00K","0.00K"
"22","Andrea",85,"Marine Thunderstorm Wind",44,0,0,0,0,"0.00K","0.00K"
"23","Andrea",85,"Marine Thunderstorm Wind",32,0,0,0,0,"0.00K","0.00K"
"24","Andrea",85,"Marine Thunderstorm Wind",35,0,0,0,0,"0.00K","0.00K"
"25","Fernand",85,"Waterspout",250,0,0,0,0,"0.00K","0.00K"
"26","Fernand",85,"Waterspout",250,0,0,0,0,"0.00K","0.00K"
"27","Andrea",85,"Marine Thunderstorm Wind",35,0,0,0,0,"0.00K","0.00K"
"28","Andrea",85,"Marine Thunderstorm Wind",42,0,0,0,0,"0.00K","0.00K"
"29","Andrea",85,"Marine Dense Fog",43,0,0,0,0,"0.00K","0.00K"
"30","Andrea",37,"Tropical Storm",106,0,0,0,0,"",""
