"","storm_id","STATE_FIPS","EVENT_TYPE","CZ_FIPS","INJURIES_DIRECT","INJURIES_INDIRECT","DEATHS_DIRECT","DEATHS_INDIRECT","DAMAGE_PROPERTY","DAMAGE_CROPS"
"1","Erika",12,"Heavy Rain",35,0,0,0,0,"0.00K","0.00K"
"2","Bill",30,"Hail",87,0,0,0,0,"0.00K","0.00K"
"3","Bill",30,"Hail",75,0,0,0,0,"0.00K","0.00K"
"4","Bill",30,"Hail",75,0,0,0,0,"0.00K","0.00K"
"5","Erika",85,"Marine Thunderstorm Wind",42,0,0,0,0,"0.00K","0.00K"
"6","Erika",85,"Marine Thunderstorm Wind",42,0,0,0,0,"0.00K","0.00K"
"7","Erika",85,"Marine Thunderstorm Wind",35,0,0,0,0,"0.00K","0.00K"
"8","Bill",30,"Hail",95,0,0,0,0,"0.00K","0.00K"
"9","Bill",30,"Hail",75,0,0,0,0,"0.00K","0.00K"
"10","Bill",30,"Hail",75,0,0,0,0,"0.00K","0.00K"
"11","Bill",30,"Hail",75,0,0,0,0,"0.00K","0.00K"
"12","Bill",30,"Hail",75,0,0,0,0,"0.00K","0.00K"
"13","Bill",30,"Flash Flood",111,0,0,0,0,"0.00K","0.00K"
"14","Bill",30,"Flood",3,0,0,0,0,"0.00K","0.00K"
"15","Bill",30,"High Wind",28,0,0,0,0,"0.00K","0.00K"
"16","Bill",30,"High Wind",34,0,0,0,0,"0.00K","0.00K"
"17","Kate",48,"Winter Weather",185,0,0,0,0,"0.00K","0.00K"
"18","Ida",16,"Winter Storm",19,0,0,0,0,"0.00K","0.00K"
"19","Bill",56,"Winter Storm",99,0,0,0,0,"0.00K","0.00K"
"20","Bill",30,"Winter Storm",63,0,0,0,0,"0.00K","0.00K"
"21","Bill",30,"Winter Storm",58,0,0,0,0,"0.00K","0.00K"
"22","Ida",16,"Heavy Snow",23,0,0,0,0,"8.00K","0.00K"
"23","Ida",16,"Heavy Snow",25,0,0,0,0,"0.00K","0.00K"
"24","Ida",16,"Heavy Snow",31,0,0,0,0,"0.00K","0.00K"
"25","Ida",16,"Heavy Snow",32,0,0,0,0,"0.00K","0.00K"
"26","Bill",88,"Marine Thunderstorm Wind",236,0,0,0,0,"0.00K","0.00K"
"27","Sam",97,"Rip Current",3,0,0,1,0,"0.00K","0.00K"
"28","Bill",30,"Winter Storm",38,0,0,0,0,"0.00K","0.00K"
"29","Kate",48,"Winter Weather",192,0,0,0,0,"0.00K","0.00K"
"30","Sam",37,"Winter Weather",89,0,0,0,0,"0.00K","0.00K"
"31","Fred",48,"Drought",184,0,0,0,0,"0.00K","0.00K"
"32","Bill",30,"Thunderstorm Wind",17,0,0,0,0,"0.00K","0.00K"
"33","Bill",30,"Winter Storm",30,0,0,0,0,"0.00K","0.00K"
"34","Bill",30,"Winter Storm",29,0,0,0,0,"0.00K","0.00K"
"35","Bill",30,"Winter Storm",67,0,0,0,0,"0.00K","0.00K"
"36","Bill",30,"Winter Storm",34,0,0,0,0,"0.00K","0.00K"
"37","Bill",30,"Winter Storm",65,0,0,0,0,"0.00K","0.00K"
"38","Kate",48,"Winter Weather",203,0,0,0,0,"0.00K","0.00K"
"39","Rose",5,"Hail",97,0,0,0,0,"0.00K","0.00K"
"40","Rose",5,"Hail",115,0,0,0,0,"0.00K","0.00K"
"41","Rose",5,"Hail",149,0,0,0,0,"0.00K","0.00K"
"42","Fred",48,"Drought",188,0,0,0,0,"0.00K","0.00K"
"43","Rose",5,"Hail",83,0,0,0,0,"0.00K","0.00K"
"44","Rose",5,"Tornado",29,0,0,0,0,"50.00K","0.00K"
"45","Rose",5,"Hail",83,0,0,0,0,"0.00K","0.00K"
"46","Rose",5,"Hail",79,0,0,0,0,"0.00K","0.00K"
"47","Rose",5,"Thunderstorm Wind",23,0,0,0,0,"0.00K","0.00K"
"48","Rose",5,"Thunderstorm Wind",63,0,0,0,0,"0.00K","0.00K"
"49","Fred",48,"Drought",189,0,0,0,0,"0.00K","0.00K"
"50","Bill",30,"Winter Storm",66,0,0,0,0,"0.00K","0.00K"
"51","Bill",30,"Winter Storm",35,0,0,0,0,"0.00K","0.00K"
"52","Fred",48,"Drought",186,0,0,0,0,"0.00K","0.00K"
"53","Fred",48,"Winter Storm",205,0,0,0,0,"0.00K","0.00K"
"54","Fred",48,"Winter Storm",188,0,0,0,0,"0.00K","0.00K"
"55","Fred",48,"Winter Storm",173,0,0,0,0,"0.00K","0.00K"
"56","Ana",51,"Dense Fog",50,0,0,0,0,"",""
"57","Ana",51,"Dense Fog",502,0,0,0,0,"",""
"58","Ida",16,"Thunderstorm Wind",7,3,0,4,0,"3.00K","0.00K"
"59","Fred",48,"Drought",204,0,0,0,0,"0.00K","0.00K"
"60","Ida",16,"Hail",37,0,0,0,0,"0.00K","0.00K"
"61","Bill",37,"Thunderstorm Wind",127,0,0,0,0,"2.50K","0.00K"
"62","Bill",37,"Thunderstorm Wind",183,0,0,0,0,"20.00K","0.00K"
"63","Bill",88,"Marine Thunderstorm Wind",233,0,0,0,0,"0.00K","0.00K"
"64","Victor",48,"Drought",233,0,0,0,0,"0.00K","0.00K"
"65","Victor",48,"Drought",234,0,0,0,0,"0.00K","0.00K"
"66","Victor",48,"Drought",233,0,0,0,0,"0.00K","0.00K"
"67","Fred",48,"Drought",187,0,0,0,0,"0.00K","0.00K"
"68","Bill",48,"Flash Flood",351,0,0,0,0,"0.00K","0.00K"
"69","Bill",48,"Flood",351,0,0,0,0,"0.00K","0.00K"
"70","Victor",48,"Drought",234,0,0,0,0,"0.00K","0.00K"
"71","Fred",48,"Drought",183,0,0,0,0,"0.00K","0.00K"
"72","Rose",5,"Hail",97,0,0,0,0,"0.00K","0.00K"
"73","Rose",5,"Hail",97,0,0,0,0,"0.00K","0.00K"
"74","Rose",5,"Thunderstorm Wind",145,0,0,0,0,"0.00K","0.00K"
"75","Rose",5,"Hail",45,0,0,0,0,"0.00K","0.00K"
"76","Rose",5,"Hail",25,0,0,0,0,"0.00K","0.00K"
"77","Rose",5,"Hail",79,0,0,0,0,"0.00K","0.00K"
"78","Ida",16,"Hail",31,0,0,0,0,"0.00K","0.00K"
"79","Kate",48,"Winter Weather",187,0,0,0,0,"0.00K","0.00K"
"80","Kate",48,"Winter Weather",190,0,0,0,0,"0.00K","0.00K"
"81","Ida",16,"Hail",5,0,0,0,0,"0.00K","0.00K"
"82","Ida",16,"Hail",81,0,0,0,0,"0.00K","0.00K"
"83","Ida",16,"Thunderstorm Wind",11,0,0,0,0,"","0.00K"
"84","Ida",16,"Hail",5,0,0,0,0,"0.00K","0.00K"
"85","Ida",16,"Thunderstorm Wind",77,0,0,0,0,"2.00K","0.00K"
"86","Ida",16,"Thunderstorm Wind",7,0,0,0,0,"","0.00K"
"87","Ida",16,"Thunderstorm Wind",41,0,0,0,0,"3.00K","0.00K"
"88","Bill",37,"Thunderstorm Wind",57,0,0,0,0,"5.00K","0.00K"
"89","Bill",37,"Thunderstorm Wind",57,0,0,0,0,"5.00K","0.00K"
"90","Bill",37,"Thunderstorm Wind",57,0,0,0,0,"0.00K","0.00K"
"91","Bill",37,"Thunderstorm Wind",57,0,0,0,0,"0.00K","0.00K"
"92","Bill",37,"Thunderstorm Wind",151,0,0,0,0,"5.00K","0.00K"
"93","Bill",37,"Thunderstorm Wind",1,0,0,0,0,"0.00K","0.00K"
"94","Bill",37,"Thunderstorm Wind",1,0,0,0,0,"0.00K","0.00K"
"95","Ida",16,"Thunderstorm Wind",41,0,0,0,0,"10.00K","0.00K"
"96","Victor",16,"Flash Flood",13,0,0,0,0,"0.00K","0.00K"
"97","Victor",16,"Flash Flood",81,0,0,0,0,"0.00K","0.00K"
"98","Fred",48,"Drought",224,0,0,0,0,"0.00K","0.00K"
"99","Rose",5,"Hail",119,0,0,0,0,"0.00K","0.00K"
"100","Rose",5,"Hail",125,0,0,0,0,"0.00K","0.00K"
"101","Rose",5,"Hail",119,0,0,0,0,"0.00K","0.00K"
"102","Bill",37,"Thunderstorm Wind",145,0,0,0,0,"2.50K","0.00K"
"103","Rose",5,"Hail",119,0,0,0,0,"0.00K","0.00K"
"104","Rose",5,"Hail",119,0,0,0,0,"0.00K","0.00K"
"105","Rose",5,"Hail",149,0,0,0,0,"0.00K","0.00K"
"106","Kate",48,"Winter Weather",172,0,0,0,0,"0.00K","0.00K"
"107","Kate",48,"Winter Weather",206,0,0,0,0,"0.00K","0.00K"
"108","Rose",5,"Hail",119,0,0,0,0,"0.00K","0.00K"
"109","Bill",37,"Thunderstorm Wind",145,0,0,0,0,"0.00K","0.00K"
"110","Bill",37,"Thunderstorm Wind",185,0,0,0,0,"3.00K","0.00K"
"111","Rose",5,"Hail",119,0,0,0,0,"0.00K","0.00K"
"112","Rose",5,"Hail",119,0,0,0,0,"0.00K","0.00K"
"113","Rose",5,"Hail",119,0,0,0,0,"0.00K","0.00K"
"114","Bill",37,"Thunderstorm Wind",183,0,0,0,0,"20.00K","0.00K"
"115","Kate",48,"Winter Weather",184,0,0,0,0,"0.00K","0.00K"
"116","Kate",48,"Winter Weather",189,0,0,0,0,"0.00K","0.00K"
"117","Kate",48,"Winter Weather",186,0,0,0,0,"0.00K","0.00K"
"118","Bill",37,"Thunderstorm Wind",77,0,0,0,0,"5.00K","0.00K"
"119","Bill",37,"Thunderstorm Wind",83,0,0,0,0,"2.50K","0.00K"
"120","Bill",37,"Thunderstorm Wind",69,0,0,0,0,"2.50K","0.00K"
"121","Bill",37,"Thunderstorm Wind",69,0,0,0,0,"2.50K","0.00K"
"122","Bill",37,"Thunderstorm Wind",127,0,0,0,0,"0.00K","0.00K"
"123","Bill",37,"Thunderstorm Wind",127,0,0,0,0,"0.00K","0.00K"
"124","Bill",48,"Funnel Cloud",361,0,0,0,0,"0.00K","0.00K"
"125","Bill",48,"Flood",241,0,0,0,0,"0.00K","0.00K"
"126","Bill",88,"Marine Thunderstorm Wind",232,0,0,0,0,"0.00K","0.00K"
"127","Bill",88,"Marine Thunderstorm Wind",234,0,0,0,0,"0.00K","0.00K"
"128","Bill",88,"Marine Thunderstorm Wind",231,0,0,0,0,"0.00K","0.00K"
"129","Bill",30,"Thunderstorm Wind",17,0,0,0,0,"0.00K","0.00K"
"130","Bill",30,"Tornado",25,0,0,0,0,"0.00K","0.00K"
"131","Bill",30,"Hail",17,0,0,0,0,"0.00K","0.00K"
"132","Bill",30,"Thunderstorm Wind",17,0,0,0,0,"0.00K","0.00K"
"133","Bill",30,"Hail",17,0,0,0,0,"0.00K","0.00K"
"134","Bill",30,"Thunderstorm Wind",25,0,0,0,0,"0.00K","0.00K"
"135","Bill",30,"Thunderstorm Wind",17,0,0,0,0,"0.00K","0.00K"
"136","Bill",30,"Hail",17,0,0,0,0,"0.00K","0.00K"
"137","Bill",30,"Hail",25,0,0,0,0,"0.00K","0.00K"
"138","Bill",30,"Hail",25,0,0,0,0,"0.00K","0.00K"
"139","Bill",30,"Thunderstorm Wind",87,0,0,0,0,"0.00K","0.00K"
"140","Bill",30,"Thunderstorm Wind",17,0,0,0,0,"0.00K","0.00K"
"141","Bill",30,"Thunderstorm Wind",17,0,0,0,0,"0.00K","0.00K"
"142","Bill",30,"Thunderstorm Wind",17,0,0,0,0,"0.00K","0.00K"
"143","Bill",30,"Thunderstorm Wind",67,0,0,0,0,"0.00K","0.00K"
"144","Bill",30,"Hail",9,0,0,0,0,"0.00K","0.00K"
"145","Bill",30,"Hail",9,0,0,0,0,"0.00K","0.00K"
"146","Bill",30,"Hail",9,0,0,0,0,"0.00K","0.00K"
"147","Bill",30,"Hail",9,0,0,0,0,"0.00K","0.00K"
"148","Bill",30,"Thunderstorm Wind",107,0,0,0,0,"0.00K","0.00K"
"149","Bill",30,"Thunderstorm Wind",107,0,0,0,0,"0.00K","0.00K"
"150","Bill",30,"Hail",3,0,0,0,0,"0.00K","0.00K"
"151","Bill",30,"Hail",75,0,0,0,0,"0.00K","0.00K"
"152","Bill",30,"Thunderstorm Wind",103,0,0,0,0,"0.00K","0.00K"
"153","Bill",24,"Thunderstorm Wind",3,0,0,0,0,"1.00K",""
"154","Bill",24,"Thunderstorm Wind",3,0,0,0,0,"1.00K",""
"155","Bill",24,"Thunderstorm Wind",5,0,0,0,0,"1.00K",""
"156","Ida",16,"Hail",35,0,0,0,0,"",""
"157","Bill",24,"Thunderstorm Wind",27,0,0,0,0,"1.00K",""
"158","Bill",24,"Thunderstorm Wind",37,0,0,0,0,"1.00K",""
"159","Bill",24,"Thunderstorm Wind",5,0,0,0,0,"1.00K",""
"160","Bill",24,"Thunderstorm Wind",21,0,0,0,0,"1.00K",""
"161","Bill",24,"Thunderstorm Wind",5,0,0,0,0,"",""
"162","Bill",24,"Thunderstorm Wind",9,0,0,0,0,"1.00K",""
"163","Ida",53,"Thunderstorm Wind",43,0,0,0,0,"0.00K","0.00K"
"164","Bill",18,"Thunderstorm Wind",163,0,0,0,0,"3.00K","0.00K"
"165","Ida",53,"Hail",7,0,0,0,0,"0.00K","0.00K"
"166","Ida",53,"Thunderstorm Wind",63,0,0,0,0,"0.50K","0.00K"
"167","Ida",53,"Flash Flood",47,0,0,0,0,"0.00K","0.00K"
"168","Bill",24,"Thunderstorm Wind",27,0,0,0,0,"1.00K",""
"169","Bill",51,"Thunderstorm Wind",3,0,0,0,0,"2.00K",""
"170","Ida",19,"Hail",93,0,0,0,0,"0.00K","0.00K"
"171","Ida",19,"Thunderstorm Wind",93,0,0,0,0,"0.00K","0.00K"
"172","Ida",19,"Hail",93,0,0,0,0,"0.00K","0.00K"
"173","Ida",19,"Thunderstorm Wind",149,0,0,0,0,"0.00K","0.00K"
"174","Bill",24,"Thunderstorm Wind",21,0,0,0,0,"1.00K","1.00K"
"175","Bill",24,"Thunderstorm Wind",43,0,0,0,0,"1.00K",""
"176","Bill",24,"Thunderstorm Wind",17,0,0,0,0,"1.00K",""
"177","Ida",53,"Hail",17,0,0,0,0,"0.00K","0.00K"
"178","Ida",53,"Flash Flood",17,0,0,0,0,"0.00K","0.00K"
"179","Bill",39,"Tornado",167,0,0,0,0,"15.00K","0.00K"
"180","Ida",53,"Heavy Rain",25,0,0,0,0,"0.00K","0.00K"
"181","Ida",53,"Hail",7,0,0,0,0,"0.00K","0.00K"
"182","Ida",53,"Hail",7,0,0,0,0,"0.00K","0.00K"
"183","Ida",53,"Hail",7,0,0,0,0,"0.00K","0.00K"
"184","Ida",53,"Heavy Rain",7,0,0,0,0,"0.00K","0.00K"
"185","Bill",24,"Thunderstorm Wind",9,0,0,0,0,"1.00K",""
"186","Bill",24,"Thunderstorm Wind",21,0,0,0,0,"1.00K",""
"187","Bill",24,"Thunderstorm Wind",21,0,0,0,0,"1.00K",""
"188","Bill",24,"Thunderstorm Wind",17,0,0,0,0,"",""
"189","Bill",24,"Thunderstorm Wind",37,0,0,0,0,"1.00K",""
"190","Ida",53,"Thunderstorm Wind",65,0,0,0,0,"0.00K","0.00K"
"191","Ida",53,"Thunderstorm Wind",65,0,0,0,0,"0.00K","0.00K"
"192","Ida",53,"Thunderstorm Wind",51,0,0,0,0,"0.00K","0.00K"
"193","Bill",54,"Flash Flood",67,0,0,0,0,"15.00K","0.00K"
"194","Ida",53,"Hail",47,0,0,0,0,"0.00K","0.00K"
"195","Ida",53,"Heavy Rain",47,0,0,0,0,"0.00K","0.00K"
"196","Ida",53,"Thunderstorm Wind",63,0,0,0,0,"0.00K","0.00K"
"197","Ida",53,"Thunderstorm Wind",63,0,0,0,0,"0.01K","0.00K"
"198","Ida",53,"Thunderstorm Wind",65,0,0,0,0,"8.00K","0.00K"
"199","Ida",53,"Flash Flood",19,0,0,0,0,"0.00K","0.00K"
"200","Ida",53,"Hail",63,0,0,0,0,"0.00K","0.00K"
"201","Bill",24,"Tornado",21,0,0,0,0,"5.00K",""
"202","Bill",51,"Thunderstorm Wind",13,0,0,0,0,"1.00K",""
"203","Ida",53,"Thunderstorm Wind",65,0,0,0,0,"0.00K","0.00K"
"204","Ida",53,"Hail",63,0,0,0,0,"0.00K","0.00K"
"205","Ida",53,"Heavy Rain",17,0,0,0,0,"0.00K","0.00K"
"206","Ida",53,"Flash Flood",51,0,0,0,0,"0.00K","0.00K"
"207","Ida",53,"Hail",25,0,0,0,0,"0.00K","0.00K"
"208","Ida",53,"Flash Flood",63,0,0,0,0,"200.00K","0.00K"
"209","Ida",16,"Heavy Rain",55,0,0,0,0,"0.00K","0.00K"
"210","Ida",53,"Debris Flow",7,0,0,0,0,"0.00K","0.00K"
"211","Bill",51,"Thunderstorm Wind",99,0,0,0,0,"1.00K",""
"212","Bill",51,"Thunderstorm Wind",59,0,0,0,0,"1.00K",""
"213","Bill",51,"Thunderstorm Wind",59,0,0,0,0,"1.00K",""
"214","Bill",17,"Heavy Rain",3,0,0,0,0,"0.00K","0.00K"
"215","Bill",17,"Tornado",145,0,0,0,0,"0.00K","0.00K"
"216","Bill",17,"Heavy Rain",193,0,0,0,0,"0.00K","0.00K"
"217","Bill",54,"Thunderstorm Wind",41,0,0,0,0,"15.00K","0.00K"
"218","Bill",54,"Thunderstorm Wind",41,0,0,0,0,"15.00K","0.00K"
"219","Ida",53,"Flash Flood",63,0,0,0,0,"10.00K","0.00K"
"220","Ida",53,"Flash Flood",63,0,0,0,0,"200.00K","0.00K"
"221","Bill",51,"Thunderstorm Wind",107,0,0,0,0,"1.00K",""
"222","Bill",51,"Thunderstorm Wind",153,0,0,0,0,"1.00K",""
"223","Bill",39,"Thunderstorm Wind",127,0,0,0,0,"15.00K","0.00K"
"224","Bill",39,"Flash Flood",163,0,0,0,0,"20.00K","0.00K"
"225","Bill",54,"Thunderstorm Wind",33,0,0,0,0,"15.00K","0.00K"
"226","Bill",51,"Thunderstorm Wind",153,0,0,0,0,"1.00K",""
"227","Bill",39,"Flash Flood",9,0,0,0,0,"10.00K","0.00K"
"228","Bill",39,"Flash Flood",127,0,0,0,0,"15.00K","0.00K"
"229","Bill",54,"Thunderstorm Wind",91,0,0,0,0,"5.00K","0.00K"
"230","Bill",48,"Flash Flood",199,0,0,0,0,"2.00K","0.00K"
"231","Bill",48,"Flash Flood",245,0,0,0,0,"1.00K","0.00K"
"232","Bill",42,"Thunderstorm Wind",21,0,0,0,0,"2.00K","0.00K"
"233","Bill",42,"Thunderstorm Wind",1,0,0,0,0,"0.50K","0.00K"
"234","Bill",42,"Thunderstorm Wind",41,0,0,0,0,"0.50K","0.00K"
"235","Ida",53,"Thunderstorm Wind",63,0,0,0,0,"0.50K","0.00K"
"236","Bill",51,"Thunderstorm Wind",153,0,0,0,0,"1.00K",""
"237","Bill",51,"Thunderstorm Wind",179,0,0,0,0,"1.00K",""
"238","Bill",51,"Thunderstorm Wind",107,0,0,0,0,"1.00K",""
"239","Bill",17,"Flash Flood",77,0,0,0,0,"10.00K","0.00K"
"240","Bill",17,"Flash Flood",145,0,0,0,0,"0.00K","0.00K"
"241","Bill",17,"Flash Flood",199,0,0,0,0,"0.00K","0.00K"
"242","Bill",54,"Thunderstorm Wind",21,0,0,0,0,"15.00K","0.00K"
"243","Bill",54,"Thunderstorm Wind",21,0,0,0,0,"5.00K","0.00K"
"244","Ida",53,"Hail",65,0,0,0,0,"0.00K","0.00K"
"245","Bill",51,"Thunderstorm Wind",107,0,0,0,0,"1.00K",""
"246","Bill",51,"Thunderstorm Wind",113,0,0,0,0,"1.00K",""
"247","Bill",54,"Thunderstorm Wind",33,0,0,0,0,"10.00K","0.00K"
"248","Bill",21,"Thunderstorm Wind",83,0,0,0,0,"1.00K","0.00K"
"249","Bill",42,"Thunderstorm Wind",21,0,0,0,0,"0.50K","0.00K"
"250","Bill",42,"Thunderstorm Wind",21,0,0,0,0,"0.50K","0.00K"
"251","Bill",42,"Thunderstorm Wind",1,0,0,0,0,"1.00K","0.00K"
"252","Bill",42,"Thunderstorm Wind",55,0,0,0,0,"1.00K","0.00K"
"253","Bill",51,"Thunderstorm Wind",113,0,0,0,0,"1.00K",""
"254","Bill",51,"Thunderstorm Wind",137,0,0,0,0,"1.00K",""
"255","Bill",51,"Thunderstorm Wind",177,0,0,0,0,"1.00K",""
"256","Bill",54,"Thunderstorm Wind",33,0,0,0,0,"10.00K","0.00K"
"257","Bill",54,"Thunderstorm Wind",1,0,0,0,0,"5.00K","0.00K"
"258","Bill",21,"Tornado",83,0,0,0,0,"4.00K","5.00K"
"259","Bill",21,"Thunderstorm Wind",83,0,0,0,0,"0.00K","0.00K"
"260","Bill",42,"Flash Flood",13,0,0,0,0,"0.00K","0.00K"
"261","Bill",24,"Thunderstorm Wind",37,0,0,0,0,"1.00K",""
"262","Bill",51,"Thunderstorm Wind",153,0,0,0,0,"1.00K",""
"263","Bill",51,"Thunderstorm Wind",3,0,0,0,0,"4.00K",""
"264","Bill",51,"Thunderstorm Wind",153,0,0,0,0,"1.00K",""
"265","Bill",29,"Flood",223,0,0,0,0,"2.00K","0.00K"
"266","Bill",29,"Flash Flood",31,0,0,0,0,"0.00K","0.00K"
"267","Bill",29,"Flash Flood",157,0,0,0,0,"10.00K","0.00K"
"268","Ida",53,"Heavy Rain",17,0,0,0,0,"5.00K","0.00K"
"269","Ida",16,"Debris Flow",69,0,0,0,0,"5.00K","0.00K"
"270","Ida",16,"Flash Flood",69,0,0,0,0,"4.00K","0.00K"
"271","Bill",24,"Thunderstorm Wind",25,0,0,0,0,"2.00K",""
"272","Bill",24,"Thunderstorm Wind",25,0,0,0,0,"1.00K",""
"273","Bill",24,"Thunderstorm Wind",25,0,0,0,0,"1.00K",""
"274","Bill",17,"Flash Flood",165,0,0,0,0,"0.00K","0.00K"
"275","Bill",17,"Flood",181,0,0,0,0,"0.00K","30.00K"
"276","Bill",40,"Flood",37,0,0,0,0,"0.00K","0.00K"
"277","Bill",51,"Tornado",153,0,0,0,0,"50.00K",""
"278","Bill",18,"Flash Flood",163,0,0,0,0,"0.00K","0.00K"
"279","Bill",17,"Tornado",87,0,0,0,0,"5.00K","0.00K"
"280","Bill",17,"Tornado",55,0,0,0,0,"500.00K","0.00K"
"281","Ida",16,"Debris Flow",55,0,0,0,0,"0.00K","0.50K"
"282","Ida",16,"Debris Flow",55,0,0,0,0,"0.00K","0.50K"
"283","Ida",16,"Heavy Rain",57,0,0,0,0,"0.00K","0.00K"
"284","Bill",24,"Thunderstorm Wind",25,0,0,0,0,"1.00K",""
"285","Bill",24,"Thunderstorm Wind",27,0,0,0,0,"1.00K",""
"286","Bill",51,"Thunderstorm Wind",153,0,0,0,0,"1.00K",""
"287","Bill",5,"Flash Flood",7,0,0,0,0,"0.00K","0.00K"
"288","Bill",17,"Tornado",65,0,0,0,0,"2.00K","10.00K"
