"","storm_id","STATE_FIPS","EVENT_TYPE","CZ_FIPS","INJURIES_DIRECT","INJURIES_INDIRECT","DEATHS_DIRECT","DEATHS_INDIRECT","DAMAGE_PROPERTY","DAMAGE_CROPS"
"1","Barry",12,"Tornado",87,0,0,0,0,"20.00K","0.00K"
"2","Barry",13,"Strong Wind",141,0,0,0,0,"2.00K","0.00K"
"3","Barry",13,"Strong Wind",139,0,0,0,0,"2.00K","0.00K"
"4","Barry",13,"Strong Wind",117,0,0,0,0,"2.00K","0.00K"
"5","Barry",13,"Strong Wind",119,0,0,0,0,"2.00K","0.00K"
"6","Barry",36,"Flash Flood",69,0,0,0,0,"15.00K","0.00K"
"7","Barry",36,"Flash Flood",69,0,0,0,0,"75.00K","0.00K"
"8","Barry",36,"Thunderstorm Wind",63,0,0,0,0,"10.00K","0.00K"
"9","Barry",36,"Thunderstorm Wind",63,0,0,0,0,"20.00K","0.00K"
"10","Barry",12,"Wildfire",23,0,0,0,0,"0.00K","0.00K"
"11","Barry",12,"Wildfire",22,0,0,0,0,"10.60M","0.00K"
"12","Noel",37,"Strong Wind",15,0,0,0,0,"1.00K","0.00K"
"13","Noel",37,"Strong Wind",102,0,0,0,0,"1.00K","0.00K"
"14","Noel",12,"Tropical Depression",168,0,0,0,0,"0.00K","0.00K"
"15","Noel",12,"Tropical Depression",68,0,0,0,0,"0.00K","0.00K"
"16","Noel",24,"Strong Wind",25,0,0,0,0,"1.00K","0.00K"
"17","Noel",12,"High Surf",25,0,0,0,0,"0.00K","0.00K"
"18","Noel",12,"High Surf",38,0,0,0,0,"0.00K","0.00K"
"19","Noel",12,"High Surf",33,0,0,0,0,"0.00K","0.00K"
"20","Humberto",13,"Hurricane",71,0,0,0,0,"0.00K","0.00K"
"21","Humberto",13,"Hurricane",14,0,0,0,0,"0.00K","0.00K"
"22","Humberto",13,"Hurricane",23,0,0,0,0,"0.00K","0.00K"
"23","Noel",12,"Heavy Rain",35,0,0,0,0,"0.00K","0.00K"
