"","storm_id","STATE_FIPS","EVENT_TYPE","CZ_FIPS","INJURIES_DIRECT","INJURIES_INDIRECT","DEATHS_DIRECT","DEATHS_INDIRECT","DAMAGE_PROPERTY","DAMAGE_CROPS"
"1","Alex",27,"Extreme Cold/Wind Chill",42,0,0,0,0,"0.00K","0.00K"
"2","Alex",27,"Extreme Cold/Wind Chill",84,0,0,0,0,"0.00K","0.00K"
"3","Alex",27,"Extreme Cold/Wind Chill",63,0,0,0,0,"0.00K","0.00K"
"4","Alex",17,"Flood",153,0,0,0,0,"50.00K","0.00K"
"5","Alex",17,"Flood",151,0,0,0,0,"15.00K","0.00K"
"6","Alex",27,"Extreme Cold/Wind Chill",82,0,0,0,0,"0.00K","0.00K"
"7","Alex",27,"Extreme Cold/Wind Chill",59,0,0,0,0,"0.00K","0.00K"
"8","Alex",17,"Flood",3,0,0,0,0,"4.50M","0.00K"
"9","Alex",17,"Flood",193,0,0,0,0,"0.00K","0.00K"
"10","Alex",51,"Coastal Flood",54,0,0,0,0,"",""
"11","Alex",17,"Flood",77,0,0,0,0,"1.00M","0.00K"
"12","Alex",17,"Flood",193,0,0,0,0,"30.00K","0.00K"
"13","Alex",17,"Flood",55,0,0,0,0,"0.00K","0.00K"
"14","Alex",17,"Flood",185,0,0,0,0,"10.00K","0.00K"
"15","Alex",27,"Extreme Cold/Wind Chill",61,0,0,0,0,"0.00K","0.00K"
"16","Alex",27,"Extreme Cold/Wind Chill",50,0,0,0,0,"0.00K","0.00K"
"17","Alex",17,"Flood",69,0,0,0,0,"10.00K","0.00K"
"18","Alex",27,"Extreme Cold/Wind Chill",83,0,0,0,0,"0.00K","0.00K"
"19","Alex",27,"Extreme Cold/Wind Chill",68,0,0,0,0,"0.00K","0.00K"
"20","Alex",27,"Extreme Cold/Wind Chill",74,0,0,0,0,"0.00K","0.00K"
"21","Alex",17,"Flood",3,0,0,0,0,"400.00K","0.00K"
"22","Alex",27,"Extreme Cold/Wind Chill",56,0,0,0,0,"0.00K","0.00K"
"23","Alex",27,"Extreme Cold/Wind Chill",53,0,0,0,0,"0.00K","0.00K"
"24","Alex",27,"Extreme Cold/Wind Chill",70,0,0,0,0,"0.00K","0.00K"
"25","Alex",27,"Extreme Cold/Wind Chill",41,0,0,0,0,"0.00K","0.00K"
"26","Alex",27,"Extreme Cold/Wind Chill",92,0,0,0,0,"0.00K","0.00K"
"27","Alex",27,"Extreme Cold/Wind Chill",93,0,0,0,0,"0.00K","0.00K"
"28","Alex",17,"Flood",59,0,0,0,0,"25.00K","0.00K"
"29","Alex",17,"Flood",77,0,0,0,0,"250.00K","0.00K"
"30","Alex",27,"Extreme Cold/Wind Chill",78,0,0,0,0,"0.00K","0.00K"
"31","Alex",27,"Extreme Cold/Wind Chill",60,0,0,0,0,"0.00K","0.00K"
"32","Alex",27,"Extreme Cold/Wind Chill",52,0,0,0,0,"0.00K","0.00K"
"33","Alex",17,"Flood",127,0,0,0,0,"6.00K","0.00K"
"34","Alex",17,"Flood",181,0,0,0,0,"700.00K","0.00K"
"35","Alex",27,"Extreme Cold/Wind Chill",45,0,0,0,0,"0.00K","0.00K"
"36","Alex",27,"Extreme Cold/Wind Chill",57,0,0,0,0,"0.00K","0.00K"
"37","Alex",27,"Extreme Cold/Wind Chill",76,0,0,0,0,"0.00K","0.00K"
"38","Alex",27,"Extreme Cold/Wind Chill",91,0,0,0,0,"0.00K","0.00K"
"39","Alex",27,"Extreme Cold/Wind Chill",66,0,0,0,0,"0.00K","0.00K"
"40","Alex",27,"Extreme Cold/Wind Chill",58,0,0,0,0,"0.00K","0.00K"
"41","Alex",41,"Rip Current",22,0,0,0,1,"0.00K","0.00K"
"42","Alex",27,"Extreme Cold/Wind Chill",44,0,0,0,0,"0.00K","0.00K"
"43","Alex",27,"Extreme Cold/Wind Chill",43,0,0,0,0,"0.00K","0.00K"
"44","Alex",27,"Extreme Cold/Wind Chill",75,0,0,0,0,"0.00K","0.00K"
"45","Alex",27,"Extreme Cold/Wind Chill",48,0,0,0,0,"0.00K","0.00K"
"46","Alex",27,"Extreme Cold/Wind Chill",62,0,0,0,0,"0.00K","0.00K"
"47","Alex",27,"Extreme Cold/Wind Chill",73,0,0,0,0,"0.00K","0.00K"
"48","Alex",27,"Extreme Cold/Wind Chill",65,0,0,0,0,"0.00K","0.00K"
"49","Alex",27,"Extreme Cold/Wind Chill",77,0,0,0,0,"0.00K","0.00K"
"50","Alex",27,"Extreme Cold/Wind Chill",69,0,0,0,0,"0.00K","0.00K"
"51","Alex",27,"Extreme Cold/Wind Chill",51,0,0,0,0,"0.00K","0.00K"
"52","Alex",27,"Extreme Cold/Wind Chill",67,0,0,0,0,"0.00K","0.00K"
"53","Alex",27,"Extreme Cold/Wind Chill",49,0,0,0,0,"0.00K","0.00K"
"54","Alex",27,"Extreme Cold/Wind Chill",85,0,0,0,0,"0.00K","0.00K"
"55","Alex",27,"Extreme Cold/Wind Chill",47,0,0,0,0,"0.00K","0.00K"
"56","Alex",27,"Extreme Cold/Wind Chill",55,0,0,0,0,"0.00K","0.00K"
"57","Gaston",37,"High Wind",35,0,0,0,0,"0.00K","0.00K"
"58","Gaston",37,"High Wind",502,0,0,0,0,"0.00K","0.00K"
"59","Gaston",37,"High Wind",36,0,0,0,0,"5.00K","0.00K"
"60","Gaston",37,"High Wind",71,0,0,0,0,"0.00K","0.00K"
"61","Gaston",37,"High Wind",70,0,0,0,0,"5.00K","0.00K"
"62","Gaston",37,"High Wind",82,0,0,0,0,"0.00K","0.00K"
"63","Gaston",37,"High Wind",68,0,0,0,0,"10.00K","0.00K"
