"","storm_id","STATE_FIPS","EVENT_TYPE","CZ_FIPS","INJURIES_DIRECT","INJURIES_INDIRECT","DEATHS_DIRECT","DEATHS_INDIRECT","DAMAGE_PROPERTY","DAMAGE_CROPS"
"1","Earl",48,"Tropical Storm",212,0,0,0,0,"100K",""
"2","Earl",48,"Tropical Storm",197,0,0,0,0,"100K",""
"3","Earl",40,"Hail",17,0,0,0,0,"",""
"4","Earl",40,"Tornado",11,1,0,0,0,"",""
"5","Bonnie",37,"Hurricane (Typhoon)",30,0,0,0,0,"3.4M",""
"6","Earl",40,"Thunderstorm Wind",71,0,0,0,0,"",""
"7","Mitch",12,"Tropical Storm",75,0,0,0,0,"",""
"8","Mitch",12,"Tropical Storm",71,0,0,0,0,"",""
"9","Earl",37,"Ice Storm",10,0,0,0,0,"",""
"10","Mitch",48,"Hail",335,0,0,0,0,"",""
"11","Mitch",48,"Thunderstorm Wind",105,0,0,0,0,".5K",""
"12","Mitch",12,"Tropical Storm",65,0,0,0,0,"20K","0"
"13","Earl",37,"Ice Storm",74,0,0,0,0,"",""
"14","Earl",12,"Hurricane (Typhoon)",8,1,0,0,0,"50K",""
"15","Frances",22,"Tropical Storm",44,0,0,0,0,"1M",""
"16","Frances",22,"Tropical Storm",55,0,0,0,0,"",""
"17","Georges",96,"Hurricane (Typhoon)",30,0,0,0,0,".25M",""
"18","Mitch",12,"Tropical Storm",77,0,0,0,0,"",""
"19","Mitch",12,"Tropical Storm",76,0,0,0,0,"",""
"20","Earl",13,"Tropical Storm",124,0,0,0,0,"85K",""
"21","Mitch",12,"Tropical Storm",72,65,0,0,0,"30M","20M"
"22","Mitch",55,"Winter Storm",65,0,0,0,0,"",""
"23","Frances",48,"Flash Flood",493,0,0,0,0,"3K","5K"
"24","Charley",22,"Hurricane (Typhoon)",51,0,0,0,0,"10K",""
"25","Bonnie",96,"Tropical Storm",30,0,0,0,0,"",""
"26","Charley",48,"Tropical Storm",237,0,0,0,0,"5K",""
"27","Bonnie",37,"Hurricane (Typhoon)",102,0,0,0,0,"",""
"28","Frances",22,"Tropical Storm",60,0,0,0,0,"0K",""
"29","Bonnie",34,"Flash Flood",23,0,0,0,0,"",""
"30","Frances",22,"Tropical Storm",53,0,0,0,0,"",""
"31","Frances",22,"Tropical Storm",54,0,0,0,0,"",""
"32","Georges",34,"Heat",16,0,0,0,0,"0",""
"33","Georges",12,"Hurricane (Typhoon)",43,0,0,0,0,"",""
"34","Earl",12,"Hurricane (Typhoon)",12,0,0,2,0,"3M",""
"35","Earl",12,"Hurricane (Typhoon)",13,0,0,0,0,"50K",""
"36","Hermine",28,"Flash Flood",147,0,0,0,0,"0K",""
"37","Hermine",28,"Tropical Storm",77,0,0,0,0,"75K",""
"38","Earl",37,"Ice Storm",38,0,0,0,0,"",""
"39","Georges",24,"Drought",13,0,0,0,0,"",""
"40","Georges",24,"Drought",14,0,0,0,0,"",""
"41","Mitch",55,"Flood",79,0,0,0,0,"20K",""
"42","Georges",24,"Drought",9,0,0,0,0,"",""
"43","Georges",24,"Drought",10,0,0,0,0,"",""
"44","Georges",24,"Drought",2,0,0,0,0,"",""
"45","Georges",24,"Drought",3,0,0,0,0,"",""
"46","Georges",24,"Drought",4,0,0,0,0,"",""
"47","Georges",24,"Drought",11,0,0,0,0,"",""
"48","Georges",24,"Drought",6,0,0,0,0,"",""
"49","Frances",22,"Tropical Storm",52,0,0,0,0,"",""
"50","Mitch",12,"Tropical Storm",68,0,0,0,0,"",""
"51","Earl",40,"Hail",47,0,0,0,0,"",""
"52","Georges",10,"Heat",4,0,0,0,0,"0",""
"53","Frances",48,"Flash Flood",307,0,0,0,0,"",""
"54","Frances",48,"Flash Flood",267,0,0,0,0,"",""
"55","Bonnie",51,"Hurricane (Typhoon)",97,1,0,0,0,"2.1M","400K"
"56","Frances",22,"Tropical Storm",70,0,0,0,0,"0K",""
"57","Frances",22,"Tropical Storm",68,0,0,0,0,"0K",""
"58","Earl",12,"Hurricane (Typhoon)",43,0,0,0,0,"",""
"59","Frances",48,"Tropical Storm",216,0,0,0,0,"2M",""
"60","Frances",22,"Tropical Storm",43,3,0,0,0,"5M",""
"61","Frances",22,"Tropical Storm",41,0,0,0,0,"1M",""
"62","Frances",22,"Tropical Storm",51,0,0,0,0,"10M",""
"63","Frances",22,"Tropical Storm",42,0,0,0,0,"1M",""
"64","Georges",12,"Hurricane (Typhoon)",48,0,0,0,0,"",""
"65","Mitch",12,"Tropical Storm",69,0,0,0,0,"",""
"66","Mitch",12,"Tropical Storm",70,0,0,0,0,"",""
