YEARMONTH,EPISODE_ID,EVENT_ID,LOCATION_INDEX,RANGE,AZIMUTH,LOCATION,LATITUDE,LONGITUDE,LAT2,LON2
199906,1082680,5706251,1,9,S,ARTHUR,41.43,-101.7,4126,10142
199906,1082680,5706257,1,4,WNW,JOHNSTOWN,42.58,-100.13,4235,10008
199906,1082680,5706258,1,13,WSW,CHAMPION,40.4,-101.98,4024,10159
199906,1082681,5706259,1,5,SW,HAY SPGS,42.63,-102.75,4238,10245
199906,2409550,5706260,1,,,BUTTE,42.92,-98.85,4255,9851
199906,2409550,5706261,1,10,N,O NEILL,42.58,-98.65,4235,9839
199912,2414026,5721748,1,,,,,,,
199912,2414026,5721749,1,,,,,,,
199912,1088424,5721969,1,,,,,,,
199912,1088425,5721970,1,,,,,,,
199910,2414410,5722245,1,,,,,,,
199910,2414410,5722246,1,,,,,,,
199910,2414410,5722247,1,,,,,,,
199910,2414410,5722248,1,,,,,,,
199909,2412967,5722160,1,,,WAYLAND,,,,
199909,2412967,5722161,1,,,FRANKLIN,,,,
199909,2412967,5722162,1,,,(BOS)LOGAN INTL ARPT,,,,
199911,2413765,5722266,1,,,,,,,
199912,2413985,5721419,1,,,,,,,
199912,2413985,5721420,1,,,,,,,
199912,2413986,5721421,1,,,,,,,
199911,2414629,5721422,1,,,,,,,
199911,2414631,5721424,1,,,,,,,
199911,2413817,5721608,1,,,,,,,
199911,2413817,5721607,1,,,,,,,
199911,2413817,5721609,1,,,,,,,
199912,2414012,5721567,1,,,,,,,
199912,2414010,5721565,1,,,,,,,
199912,1088723,5721568,1,,,,,,,
199912,2414013,5721569,1,,,,,,,
199912,1088733,5721588,1,,,,,,,
199912,2413916,5721366,1,,,,,,,
199912,2413916,5721367,1,,,,,,,
199912,2413148,5721368,1,,,,,,,
199912,2413148,5721369,1,,,,,,,
199912,2413917,5721370,1,,,,,,,
199909,2414552,5721384,1,,,,,,,
199911,2413823,5722104,1,,,,,,,
199911,2413823,5722105,1,,,,,,,
199911,2413823,5722106,1,,,,,,,
199911,2413823,5722107,1,,,,,,,
199910,2413082,5722108,1,,,ASHTABULA,41.88,-80.8,4153,8048
199910,2413084,5722370,1,,,,,,,
199910,2413084,5722371,1,,,,,,,
199910,2413084,5722372,1,,,,,,,
199910,2413084,5722373,1,,,,,,,
199910,2413084,5722374,1,,,,,,,
199912,1088764,5721886,1,,,,,,,
199912,1088765,5722031,1,,,,,,,
199909,2413870,5721678,1,,,,,,,
199910,2413085,5722383,1,,,,,,,
199910,2413085,5722384,1,,,,,,,
199910,2413085,5722385,1,,,,,,,
199910,2413085,5722386,1,,,,,,,
199912,1088764,5721893,1,,,,,,,
199912,1088766,5722040,1,,,,,,,
199912,1088766,5722041,1,,,,,,,
199911,2413049,5722334,1,,,FARRIS,34.27,-95.82,3416,9549
199911,2413049,5722335,1,3,SE,ATOKA,34.35,-96.1,3421,9606
199907,2409880,5709194,1,,,CRYSTAL SPGS,31.98,-90.37,3159,9022
199907,2409881,5709195,1,,,SEMINARY,31.55,-89.5,3133,8930
199907,1083840,5708974,1,5,E,ARDOCH,48.2,-97.22,4812,9713
199907,1083840,5708975,1,5,W,NEW ROCKFORD,47.68,-99.23,4741,9914
199907,1083840,5708976,1,7,S,NEW ROCKFORD,47.58,-99.13,4735,9908
199906,2409256,5704310,1,1,SW,WASHBURN,40.9,-89.3,4054,8918
199906,2409256,5704311,2,1,S,HAVANA,40.28,-90.07,4017,9004
199906,2409256,5704305,2,6,N,FAIRVIEW,40.72,-90.17,4043,9010
199906,2409256,5704188,1,,,CALHOUN,38.65,-88.05,3839,8803
199906,2409257,5704189,2,1,SW,LOW PT,40.85,-89.33,4051,8920
199907,2411043,5706707,1,,,MINOT,48.23,-101.28,4814,10117
199907,2410456,5706708,1,,,LOGAN,48.15,-101.15,4809,10109
199907,2410457,5706709,2,,,SAWYER,48.08,-101.05,4805,10103
199907,2410038,5706710,1,14,N,DENHOFF,47.68,-100.27,4741,10016
199907,2411044,5706711,1,,,BURLINGTON,48.28,-101.42,4817,10125
