FAT_YEARMONTH,FAT_DAY,FAT_TIME,FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_DATE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION,EVENT_YEARMONTH
199907,29,0,1003054,5714130,D,7/29/99 12:00,40,M,Outside/Open Areas,199907
199907,9,0,1003071,5714536,D,7/9/99 12:00,73,F,Mobile/Trailer Home,199907
199907,30,0,1003072,5714537,D,7/30/99 12:00,95,F,Permanent Home,199907
199907,30,0,1003073,5714538,D,7/30/99 12:00,84,M,Mobile/Trailer Home,199907
199907,24,0,1003083,5719206,D,7/24/99 12:00,28,M,Boat,199907
199907,23,0,1003085,5719281,D,7/23/99 12:00,39,M,Outside/Open Areas,199907
199907,18,0,1003213,5724570,D,7/18/99 12:00,36,M,In Water,199907
199907,10,0,1003214,5724574,D,7/10/99 12:00,52,M,Permanent Home,199907
199907,21,0,1003558,5707867,D,7/21/99 12:00,35,M,Outside/Open Areas,199907
199907,17,0,1003559,5707970,D,7/17/99 12:00,13,F,In Water,199907
199907,23,0,1003560,5708074,D,7/23/99 12:00,31,F,Outside/Open Areas,199907
199907,30,0,1003561,5706655,D,7/30/99 12:00,74,M,Outside/Open Areas,199907
199907,31,0,1003562,5706656,D,7/31/99 12:00,73,M,Permanent Home,199907
199907,26,0,1003563,5706657,D,7/26/99 12:00,37,M,Mobile/Trailer Home,199907
199907,29,0,1003564,5706657,D,7/29/99 12:00,54,M,Permanent Home,199907
199907,21,0,1003565,5706658,D,7/21/99 12:00,40,M,Permanent Home,199907
199907,27,0,1003566,5706658,D,7/27/99 12:00,56,M,Permanent Home,199907
199907,27,0,1003567,5706658,D,7/27/99 12:00,75,M,Permanent Home,199907
199907,28,0,1003568,5706658,D,7/28/99 12:00,81,M,Permanent Home,199907
199907,28,0,1003569,5706658,D,7/28/99 12:00,79,F,Permanent Home,199907
199907,29,0,1003570,5706658,D,7/29/99 12:00,71,M,Permanent Home,199907
199907,29,0,1003571,5706658,D,7/29/99 12:00,79,F,Permanent Home,199907
199907,29,0,1003572,5706658,D,7/29/99 12:00,75,F,Permanent Home,199907
199907,30,0,1003573,5706658,D,7/30/99 12:00,75,M,Permanent Home,199907
199907,30,0,1003574,5706658,D,7/30/99 12:00,82,F,Permanent Home,199907
199907,30,0,1003575,5706658,D,7/30/99 12:00,74,F,Permanent Home,199907
199907,31,0,1003576,5706658,D,7/31/99 12:00,72,F,Permanent Home,199907
199907,31,0,1003577,5706658,D,7/31/99 12:00,70,F,Permanent Home,199907
199907,31,0,1003578,5706658,D,7/31/99 12:00,69,M,Permanent Home,199907
199907,31,0,1003579,5706658,D,7/31/99 12:00,83,M,Permanent Home,199907
199907,31,0,1003580,5706658,D,7/31/99 12:00,81,M,Permanent Home,199907
199907,31,0,1003581,5706658,D,7/31/99 12:00,78,M,Permanent Home,199907
199907,26,0,1003582,5706659,D,7/26/99 12:00,62,M,Permanent Home,199907
199907,8,0,1003583,5706775,D,7/8/99 12:00,65,M,Permanent Home,199907
199907,9,0,1003584,5706775,D,7/9/99 12:00,81,F,Permanent Home,199907
199907,29,0,1003585,5706782,D,7/29/99 12:00,86,F,Permanent Home,199907
199907,4,0,1003586,5707790,D,7/4/99 12:00,33,M,In Water,199907
199907,6,0,1003588,5713067,D,7/6/99 12:00,38,M,Vehicle/Towed Trailer,199907
199907,27,0,1003589,5711748,D,7/27/99 12:00,45,M,Outside/Open Areas,199907
199907,27,0,1003590,5712106,D,7/27/99 12:00,94,F,Permanent Home,199907
199907,31,0,1003591,5712109,D,7/31/99 12:00,64,M,Permanent Home,199907
199907,31,0,1003592,5712109,D,7/31/99 12:00,46,M,Outside/Open Areas,199907
199907,25,0,1003593,5712109,D,7/25/99 12:00,49,F,Other,199907
199907,30,0,1003594,5712113,D,7/30/99 12:00,76,F,Permanent Home,199907
199907,29,0,1003595,5712127,D,7/29/99 12:00,41,M,Permanent Home,199907
199907,23,0,1003597,5713083,D,7/23/99 12:00,72,F,Outside/Open Areas,199907
199907,27,0,1003598,5713099,D,7/27/99 12:00,46,M,Outside/Open Areas,199907
199907,28,0,1003599,5713100,D,7/28/99 12:00,42,M,Outside/Open Areas,199907
199907,28,0,1003600,5713101,D,7/28/99 12:00,59,M,Permanent Home,199907
199907,30,0,1003601,5713102,D,7/30/99 12:00,44,M,Outside/Open Areas,199907
199907,31,0,1003603,5713104,D,7/31/99 12:00,81,F,Permanent Home,199907
199907,26,0,1003604,5713105,D,7/26/99 12:00,51,M,Outside/Open Areas,199907
199907,24,0,1003605,5712043,D,7/24/99 12:00,32,M,Outside/Open Areas,199907
199907,24,0,1003606,5712043,D,7/24/99 12:00,34,M,Outside/Open Areas,199907
199907,28,0,1003607,5712049,D,7/28/99 12:00,,M,Outside/Open Areas,199907
199907,3,0,1003608,5712759,D,7/3/99 12:00,4,F,In Water,199907
199907,6,0,1003609,5711695,D,7/6/99 12:00,36,M,Outside/Open Areas,199907
199907,24,0,1003610,5711866,D,7/24/99 12:00,30,M,Under Tree,199907
199907,24,0,1003611,5711866,D,7/24/99 12:00,32,M,Under Tree,199907
199907,24,0,1003612,5711866,D,7/24/99 12:00,46,F,Under Tree,199907
199907,31,0,1003613,5712385,D,7/31/99 12:00,55,F,Mobile/Trailer Home,199907
199907,29,0,1003614,5712303,D,7/29/99 12:00,68,F,Permanent Home,199907
199907,30,0,1003616,5711202,D,7/30/99 12:00,43,M,Under Tree,199907
